9,폴링인블루펜션,PENSION,전남 여수시 돌산읍 평사리 338-5,34.6686223,127.7810823,101434.0
9,자연담은,PENSION,전남 여수시 돌산읍 평사리 1385-6,34.6984161,127.762956,53191.0
4,무지개펜션,PENSION,전남 여수시 화양면 이천리 200-17,34.7500926,127.5855597,87827.0
5,챠밍홈사랑채,PENSION,전남 여수시 돌산읍 둔전리 1368-1번지,34.6512325,127.7617925,75457.0
2,노블레스호텔,HOTEL,전남 순천시 조례동 1590-7,34.9547697,127.525855,70509.0
9,엑스포 글램핑장,CAMPING,전남 여수시 수정동,34.7521907,127.7464985,142255.0
8,꽃섬민박,PENSION,전남 여수시 화정면 하화리 242,34.5945103,127.6203607,126174.0
8,엘레나 호텔,HOTEL,전남 여수시 문수동  112,34.7548262,127.7061687,54428.0
9,e러케조은 민박,PENSION,전남 여수시 돌산읍 죽포리 272-2,34.6326875,127.7941093,94012.0
12,상록수 민박,PENSION,전남 여수시 돌산읍 우두리 804-10,34.7272378,127.742063,123700.0
1,한려펜션민박,PENSION,전남 여수시 남면 우학리 703번지,34.5068792,127.771515,51954.0
1,치유의 숲,PENSION,전남 여수시 율촌면 신풍리 18,34.8399441,127.6294663,113804.0
5,향일암펜션 예술인의 집,PENSION,전남 여수시 돌산읍 율림리 6-4,34.5950334,127.8038809,58139.0
11,들가펜션,PENSION,전남 여수시 돌산읍 둔전리 1213-6,34.6594087,127.7664809,63087.0
9,곡성섬진강승마유스빌,HOSTEL,전남 곡성군 고달면 두가리 169-1,35.2380871,127.3753186,72983.0
3,외동 어촌체험마을,HOSTEL,전남 여수시 경호동  578-2,34.717875,127.7345183,137307.0
1,적금 어촌체험마을,HOSTEL,전남 여수시 화정면 적금리 349,34.6273283,127.5148974,127411.0
10,그리스호텔,HAPPYHOTEL,전남 완도군 완도읍 가용리 1020-12,34.3247137,126.7475384,141018.0
2,만월장 호텔,HAPPYHOTEL,전남 장성군 북이면 사거리 611-3,35.4311207,126.8100528,101434.0
2,삼성호텔,HAPPYHOTEL,전남 장성군 장성읍 기산리 478-47,35.3047431,126.7812646,56902.0
10,프라자호텔,HAPPYHOTEL,전남 고흥군 도양읍 봉암리 3872,34.5241684,127.1429527,138544.0
3,화야평,HAPPYHOTEL,전남 구례군 산동면 좌사리 541-3,35.3100379,127.4739205,94012.0
7,S호텔,HAPPYHOTEL,전남 광양시 중동  1648-2,34.9370809,127.6955404,68035.0
4,We호텔,HAPPYHOTEL,전남 순천시 해룡면 신대리 1975-2,34.9356441,127.5499275,54428.0
3,브라운호텔,HAPPYHOTEL,전남 순천시 풍덕동  1259-10,34.9475731,127.4939272,45769.0
12,해비치호텔,HAPPYHOTEL,전남 여수시 학동  200-23,34.7563703,127.6574673,102671.0
11,y-오션 관광호텔,HOTEL,전남 여수시 덕충동  61-25,34.758515,127.7495232,147203.0
7,베니키아 관광호텔,HOTEL,전남 여수시 학동  200-16,34.7565536,127.6590811,40821.0
1,히든베이호텔,HOTEL,전남 여수시 신월동  197-24,34.7219271,127.6999084,43295.0
9,한옥호텔 오동재,HOTEL,전남 여수시 덕충동  596-1,34.7558791,127.7448237,70509.0
5,U-캐슬 관광호텔,HOTEL,전남 여수시 소라면 죽림리 117,34.7481238,127.6415105,72983.0
5,여수YMCA 가사리생태교육관,HOSTEL,전남 여수시 소라면 현천리 1049-4,34.7480514,127.602575,91538.0
8,경도리조트콘도,CONDO,전남 여수시 경호동  438-1,34.7187859,127.7213649,102671.0
5,한화리조트,CONDO,전남 구례군 마산면 황전리 32-22,35.2480117,127.4939693,47006.0
5,남매가든펜션,PENSION,전남 영광군 홍농읍 칠곡리  329,35.388959,126.4249481,143492.0
2,해안도로펜션,PENSION,전라남도 영광군 백수읍 대신리  783-15,35.3500361,126.3889981,129885.0
6,황해펜션,PENSION,전남 영광군 백수읍 백암리  108,35.3319298,126.3813774,84116.0
9,쉐이리펜션,PENSION,전라남도 영광군 백수읍 백암리  236-1,35.3203311,126.380122,107619.0
10,마리나베이펜션,PENSION,전라남도 영광군 백수읍 백암리  592-4,35.311396,126.3828049,102671.0
2,놀마루펜션,PENSION,전남 영광군 백수읍 백암리  283,35.319945,126.3828634,47006.0
4,노을하우스,PENSION,전남 영광군 백수읍 대신리 760-8,35.3509166,126.3904597,115041.0
6,노을연가,PENSION,전남 영광군 백수읍 백암리 231,35.325688,126.3791832,142255.0
5,해비치모텔,MOTEL,전남 영광군 법성면 법성리 1210-13,35.3593076,126.4397414,126174.0
8,골든비치모텔,MOTEL,전남 영광군 법성면 법성리 1227-9,35.3585132,126.4442356,25977.0
4,초원모텔,MOTEL,전남 영광군 영광읍 백학리 139,35.277181,126.5104109,29688.0
2,스카이모텔,MOTEL,전남 영광군 영광읍 신하리  30-6,35.2746674,126.5021867,35873.0
1,삼정모텔,MOTEL,전남 영광군 영광읍 신하리,35.2781614,126.4926825,76694.0
5,그리스모텔,MOTEL,전남 영광군 영광읍 신하리 12길,35.2781614,126.4926825,129885.0
9,함평온천장,MOTEL,함평군 함평읍 기각리 824번지,35.0648605,126.5163785,47006.0
12,모아모텔,MOTEL,함평군 함평읍 기각리  375-34번지,35.0668909,126.5255888,128648.0
10,뉴샹젤리제호텔,HOTEL,전남 함평군 함평읍 천우길 32,35.063069,126.5241445,139781.0
2,장성 백양사 가인 오토캠핑장,CAMPING,전남 장성군 북하면 약수리 108,35.4260994,126.8792746,72983.0
2,장성 홍길동 테마파크,CAMPING,전남 장성군 황룡면 아곡리 373,35.3194274,126.7271331,108856.0
8,장성 방장산 자연휴양림,CAMPING,전남 장성군 북이면 죽청리 산 70-1,35.4440384,126.7513996,45769.0
4,함평 자연생태공원,CAMPING,전남 함평군 신광면 가덕리 393번지,35.1379299,126.4929495,145966.0
7,무안 갯벌 캠핑장,CAMPING,무안군 해제면 유월리  1-1,35.1095181,126.3331582,138544.0
6,해남 가학산 자연휴양림,CAMPING,전라남도 해남군 계곡면 가학리 산1 번지,34.67098,126.6170002,37110.0
12,황토나라 테마촌(캠핑리조트),CAMPING,전라남도 해남군 송지면 땅끝해안로 1730,34.3102365,126.5218164,105145.0
4,영암 F1 오토캠핑장,CAMPING,전남 영암군 삼호읍 삼포리 1894 F1경주장 내,34.7303531,126.4175505,133596.0
12,영암 천황사 캠핑장,CAMPING,전남 영암군 영암읍 개신리 484-50,34.7750828,126.7217154,85353.0
2,강진 호수공원 오토캠핑장,CAMPING,전남 강진군 강진읍 송전리 766-16,34.6383176,126.752408,74220.0
2,강진 베이스볼파크 오토캠핑장,CAMPING,전남 강진군 도암면 학장리 83-11(강진베이볼파크),34.559957,126.7651548,118752.0
8,강진 주작산 자연휴양림,CAMPING,전남 강진군 신전면 수양리 산 65-1 번지,34.5142256,126.6846898,118752.0
1,장흥 천관산 자연휴양림,CAMPING,전남 장흥군 관산읍 농안리 692,34.5452704,126.8996848,132359.0
7,장흥 유치 자연휴양림,CAMPING,전남 장흥군 유치면 신월리 443,34.7680258,126.8324502,51954.0
12,장흥 정남진리조트 오토캠핑장,CAMPING,전남 장흥군 부산면 지천리 405,34.7511696,126.8933034,24740.0
4,보성 하느제 캠핑장,CAMPING,전남 보성군 벌교읍 옥전리 1130,34.8481348,127.2331091,121226.0
10,보성 제암산 자연휴양림,CAMPING,전남 보성군 웅치면 대산리 113-1번지,34.7000119,126.9865872,71746.0
